Race,Mastery_Name,Mastery_Type,Mastery_ID,Skill_ID,Skill_Code,Group_Code,Gold_Price,Skill_Level,Category,Icon_Path,Name_Key,Name_KOR,Name_EN,Tooltip_Key,Tooltip_KOR,Tooltip_EN,Study_Key,Study_KOR,Study_EN,Gold_Price_Raw,HP_Cost,MP_Cost_Min,MP_Cost_Max,MP_Per_Use,SP_Cost,Mastery_Level_Req,Cast_ms,Cooldown1_ms,Cooldown2_ms,Is_Passive,Atk_Bitmask,MP_Sustain,Can_Target_Enemy,Can_Target_Ally,Can_Target_Self,Targets_Group,Targets_Party,Targets_Single,Target_Type,Weapon_Req1,Weapon_Req2,Weapon_Req1_Code,Weapon_Req2_Code,Range,Max_Targets,Effect_Count,Eff1_Type_Raw,Eff1_Type,Eff1_Value,Eff1_Element,Eff1_Param_Min,Eff1_Param_Max,Eff2_Element,Eff2_Type_Raw,Eff2_Type,Eff2_Value,Eff2_Param1,Eff2_Param2,Eff2_Param3,Eff2_Duration_ms,Eff2_Range,Eff3_Type_Raw,Eff3_Type,Eff3_Value,Eff3_Param_Min,Eff3_Param_Max,Eff3_Param3,Eff3_Param4,Eff3_Duration_ms,Eff4_Type_Raw,Eff4_Type,Eff4_Value,Eff4_Param_Min,Eff4_Param_Max,Eff4_Param3,Eff4_Param4,Eff4_Duration_ms
Chinese,Blade,Weapon,257,2,SKILL_CH_SWORD_BASE_01,SKILL_CH_SWORD_BASE,0,1,2,xxx,xxx,,,xxx,,,xxx,,,0,0,0,1200,0,0,0,1200,0,0,1,0,0,1,1,0,0,0,1,3,Sword(1H),Blade,2,3,0,255,255,6386804,tta_,5,60,0,0,60,28003,cm__,2,2,1734702198,1296122196,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
Chinese,Blade,Weapon,257,3,SKILL_CH_SWORD_SMASH_A_01,SKILL_CH_SWORD_SMASH_A,0,1,2,skill\china\sword_smash_a.ddj,SN_SKILL_CH_SWORD_SMASH_A,,Strike Smash,SN_SKILL_CH_SWORD_SMASH_A_TT_DESC,.,Swing your sword to inflict great damage to the enemy.,SN_SKILL_CH_SWORD_SMASH_A_STUDY,.                                                                    .,"A hard sword strike. Rather than using the force, this skill utilizes physical might and is dependent on grip. It is the most basic skill through which the other force-enhanced sword skills build upon",0,0,411,1022,19,5,99999999,3000,0,0,1,33554432,0,1,1,0,0,0,1,0,Sword(1H),Blade,2,3,2,0,0,6386804,tta_,5,143,15,18,143,1734702198,vteg,1296122196,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
Chinese,Blade,Weapon,257,4,SKILL_CH_SWORD_SMASH_B_01,SKILL_CH_SWORD_SMASH_B,0,1,2,skill\china\sword_smash_b.ddj,SN_SKILL_CH_SWORD_SMASH_B,,Stab Smash,SN_SKILL_CH_SWORD_SMASH_B_TT_DESC,.,Thrust your sword to inflict great damage to the enemy.,SN_SKILL_CH_SWORD_SMASH_B_STUDY,.                                            .,Thrusts the sword at the opponent's heart. Only one who has enough gripping power through their training can use this skill because he or she must thrust the sword with one hand.,0,0,500,1100,91,27,99999999,3000,0,0,1,50331648,0,1,1,0,0,0,1,0,Sword(1H),Blade,2,3,117,0,0,6386804,tta_,5,160,64,78,160,1734702198,vteg,1296122196,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
Chinese,Blade,Weapon,257,5,SKILL_CH_SWORD_SMASH_C_01,SKILL_CH_SWORD_SMASH_C,0,1,2,skill\china\sword_smash_c.ddj,SN_SKILL_CH_SWORD_SMASH_C,,Crosswise Smash,SN_SKILL_CH_SWORD_SMASH_C_TT_DESC,.,Swing your sword twice to inflict damage to the enemy.,SN_SKILL_CH_SWORD_SMASH_C_STUDY,".              ,                                                              .","This is the first level of the skill of using infusing their inner force within the sword. The user is able to focus the force into their wrists and arms, enabling them to protect themselves and to perform a strong cross-shaped maneuver of great power.",0,0,657,500,290,49,99999999,3000,0,0,1,67108864,0,1,1,0,0,0,1,0,Sword(1H),Blade,2,3,449,0,0,6386804,tta_,5,116,163,199,116,1734702198,vteg,1296122196,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
Chinese,Blade,Weapon,257,6,SKILL_CH_SWORD_CHAIN_A_1S_01,SKILL_CH_SWORD_CHAIN_A,0,1,2,skill\china\sword_chain_a.ddj,SN_SKILL_CH_SWORD_CHAIN_A,,Illusion Chain,SN_SKILL_CH_SWORD_CHAIN_A_TT_DESC,3             .,Applies 3 combo attack.,SN_SKILL_CH_SWORD_CHAIN_A_STUDY,3                                                   .,The first skill in the Chain Sword Attack Series; the Illusion Chain strikes the enemy 3 times rapidly. It is called the Illusion chain because from the opponents' perspective it appears that they are fighting illusions.,0,0,0,428,32,7,99999999,8000,0,0,1,0,0,1,1,0,0,0,1,0,Sword(1H),Blade,2,3,5,1,0,6386804,tta_,5,30,18,22,30,1734702198,vteg,1296122196,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
Chinese,Blade,Weapon,257,7,SKILL_CH_SWORD_CHAIN_A_2S_01,SKILL_CH_SWORD_CHAIN_A,0,1,2,skill\china\sword_chain_a.ddj,SN_SKILL_CH_SWORD_CHAIN_A,,Illusion Chain,SN_SKILL_CH_SWORD_CHAIN_A_TT_DESC,3             .,Applies 3 combo attack.,SN_SKILL_CH_SWORD_CHAIN_A_STUDY,3                                                   .,The first skill in the Chain Sword Attack Series; the Illusion Chain strikes the enemy 3 times rapidly. It is called the Illusion chain because from the opponents' perspective it appears that they are fighting illusions.,0,0,0,612,0,7,0,0,0,0,1,0,0,1,1,0,0,0,1,0,Sword(1H),Blade,2,3,0,255,255,6386804,tta_,5,53,18,22,53,1734702198,vteg,1296122196,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
Chinese,Blade,Weapon,257,8,SKILL_CH_SWORD_CHAIN_A_3S_01,SKILL_CH_SWORD_CHAIN_A,0,1,2,skill\china\sword_chain_a.ddj,SN_SKILL_CH_SWORD_CHAIN_A,,Illusion Chain,SN_SKILL_CH_SWORD_CHAIN_A_TT_DESC,3             .,Applies 3 combo attack.,SN_SKILL_CH_SWORD_CHAIN_A_STUDY,3                                                   .,The first skill in the Chain Sword Attack Series; the Illusion Chain strikes the enemy 3 times rapidly. It is called the Illusion chain because from the opponents' perspective it appears that they are fighting illusions.,0,0,0,993,0,7,0,0,0,0,1,0,0,1,1,0,0,0,1,0,Sword(1H),Blade,2,3,0,255,255,6386804,tta_,5,120,18,22,120,1734702198,vteg,1296122196,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
Chinese,Blade,Weapon,257,9,SKILL_CH_SWORD_CHAIN_B_1S_01,SKILL_CH_SWORD_CHAIN_B,0,1,2,skill\china\sword_chain_b.ddj,SN_SKILL_CH_SWORD_CHAIN_B,,Blood Chain,SN_SKILL_CH_SWORD_CHAIN_B_TT_DESC,4             .,Applies 4 combo attack.,SN_SKILL_CH_SWORD_CHAIN_B_STUDY,4                                                                 .,The second skill of Chain Sword Attack Series; Blood Chain strikes the enemy 4 times rapidly. It is called Blood Chain because the opponent  will fall in a spray of blood.,0,0,0,596,153,29,99999999,8000,0,0,1,0,0,1,1,0,0,0,1,0,Sword(1H),Blade,2,3,135,1,0,6386804,tta_,5,43,71,86,43,1734702198,vteg,1296122196,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
Chinese,Blade,Weapon,257,10,SKILL_CH_SWORD_CHAIN_B_2S_01,SKILL_CH_SWORD_CHAIN_B,0,1,2,skill\china\sword_chain_b.ddj,SN_SKILL_CH_SWORD_CHAIN_B,,Blood Chain,SN_SKILL_CH_SWORD_CHAIN_B_TT_DESC,4             .,Applies 4 combo attack.,SN_SKILL_CH_SWORD_CHAIN_B_STUDY,4                                                                 .,The second skill of Chain Sword Attack Series; Blood Chain strikes the enemy 4 times rapidly. It is called Blood Chain because the opponent  will fall in a spray of blood.,0,0,0,602,0,29,0,0,0,0,1,0,0,1,1,0,0,0,1,0,Sword(1H),Blade,2,3,0,255,255,6386804,tta_,5,57,71,86,57,1734702198,vteg,1296122196,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
Chinese,Blade,Weapon,257,11,SKILL_CH_SWORD_CHAIN_B_3S_01,SKILL_CH_SWORD_CHAIN_B,0,1,2,skill\china\sword_chain_b.ddj,SN_SKILL_CH_SWORD_CHAIN_B,,Blood Chain,SN_SKILL_CH_SWORD_CHAIN_B_TT_DESC,4             .,Applies 4 combo attack.,SN_SKILL_CH_SWORD_CHAIN_B_STUDY,4                                                                 .,The second skill of Chain Sword Attack Series; Blood Chain strikes the enemy 4 times rapidly. It is called Blood Chain because the opponent  will fall in a spray of blood.,0,0,0,605,0,29,0,0,0,0,1,0,0,1,1,0,0,0,1,0,Sword(1H),Blade,2,3,0,255,255,6386804,tta_,5,67,71,86,67,1734702198,vteg,1296122196,0,0,0,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0
